audit_id,note_id,auditor_mds_id,audited_at_utc,rubric_version,score_accuracy,score_completeness,score_formatting,score_terminology,score_hpi,score_ros,score_plan,composite_score,pass_fail
AU-10445,NT-001577,MD-217,2026-04-21 09:00:15,v1,0.8967,0.8449,0.9146,0.8904,0.9679,0.9031,0.997,0.91,PASS
AU-10446,NT-001580,MD-211,2026-04-21 12:07:34,v1,1.0,1.0,1.0,0.9699,0.9246,1.0,0.9961,0.9889,PASS
AU-10447,NT-001581,MD-212,2026-04-21 19:20:17,v1,0.4528,0.5003,0.509,0.514,0.4438,0.4368,0.385,0.4622,FAIL
AU-10448,NT-001582,MD-208,2026-04-23 11:25:31,v1,1.0,1.0,1.0,0.9225,0.9933,0.9645,1.0,0.9898,PASS
AU-10449,NT-001591,MD-231,2026-04-23 09:55:41,v1,0.9846,0.9943,1.0,0.9315,0.8626,1.0,0.8132,0.9456,PASS
AU-10450,NT-001598,MD-230,2026-04-21 21:37:13,v1,0.9625,1.0,1.0,0.9315,0.9772,1.0,0.9113,0.9663,PASS
AU-10451,NT-001602,MD-221,2026-04-22 02:37:27,v1,0.9541,0.9292,1.0,1.0,1.0,1.0,0.9146,0.9593,PASS
AU-10452,NT-001604,MD-220,2026-04-21 23:37:30,v1,1.0,1.0,1.0,0.9889,0.9987,0.9981,1.0,0.9987,PASS
AU-10453,NT-001608,MD-205,2026-04-24 13:52:04,v1,1.0,0.8933,0.9652,0.9495,1.0,0.9891,1.0,0.9696,PASS
AU-10454,NT-001610,MD-213,2026-04-23 09:49:21,v1,1.0,0.9568,1.0,0.9424,1.0,0.9637,0.8959,0.9682,PASS
AU-10455,NT-001611,MD-214,2026-04-21 06:31:28,v1,1.0,0.9337,1.0,0.9978,1.0,0.8367,1.0,0.9784,PASS
AU-10456,NT-001618,MD-210,2026-04-23 16:37:00,v1,0.8765,0.9146,1.0,0.9776,0.9916,1.0,0.9312,0.9324,PASS
AU-10457,NT-001620,MD-232,2026-04-23 09:19:10,v1,1.0,0.9241,0.9588,0.9576,0.9099,1.0,0.9431,0.9589,PASS
AU-10458,NT-001622,MD-209,2026-04-21 15:06:16,v1,0.9574,0.9876,0.8638,0.9958,0.9744,0.9463,0.9744,0.9616,PASS
AU-10459,NT-001626,MD-214,2026-04-23 10:54:24,v1,0.8705,0.8801,0.8885,0.8556,0.8918,0.9126,0.832,0.8712,PASS
AU-10460,NT-001629,MD-219,2026-04-24 02:53:39,v1,0.8167,0.9103,0.884,0.8213,0.7787,0.8806,0.8955,0.8538,PASS
AU-10461,NT-001630,MD-230,2026-04-24 06:50:17,v1,1.0,0.9555,1.0,1.0,0.8634,0.959,0.9183,0.9631,PASS
AU-10462,NT-001631,MD-204,2026-04-22 18:39:23,v1,1.0,1.0,0.9597,0.8841,0.9049,0.924,0.9283,0.9603,PASS
AU-10463,NT-001634,MD-203,2026-04-24 05:33:07,v1,0.8294,0.8902,0.8031,0.9165,0.9011,0.9364,0.8691,0.8661,PASS
AU-10464,NT-001636,MD-217,2026-04-23 13:07:37,v1,0.9708,1.0,0.9142,0.883,1.0,0.9658,0.9693,0.9646,PASS
AU-10465,NT-001645,MD-224,2026-04-22 11:52:26,v1,0.8307,0.7861,0.782,0.7598,0.8285,0.9076,0.7964,0.8083,FAIL
AU-10466,NT-001648,MD-232,2026-04-23 10:37:44,v1,1.0,0.9653,1.0,0.9296,1.0,0.9828,0.8859,0.968,PASS
AU-10467,NT-001668,MD-211,2026-04-25 14:02:30,v1,0.8964,0.9334,0.8184,0.8964,0.8328,0.8753,0.768,0.8693,PASS
AU-10468,NT-001669,MD-229,2026-04-23 23:45:40,v1,0.9353,0.8324,0.8938,0.9849,0.9099,0.9189,0.9175,0.9095,PASS
AU-10469,NT-001672,MD-229,2026-04-24 04:24:36,v1,0.8505,0.9662,0.898,0.8646,0.9227,1.0,0.8211,0.8901,PASS
AU-10470,NT-001673,MD-226,2026-04-23 11:52:54,v1,0.963,0.885,0.8778,0.8737,0.8478,0.8584,0.8389,0.8946,PASS
AU-10471,NT-001678,MD-219,2026-04-22 13:45:53,v1,0.9815,0.9195,0.974,1.0,1.0,1.0,1.0,0.9757,PASS
AU-10472,NT-001679,MD-218,2026-04-24 12:11:28,v1,0.9874,0.9193,1.0,0.9602,1.0,0.9964,0.9236,0.9644,PASS
AU-10473,NT-001682,MD-231,2026-04-23 16:21:47,v1,1.0,0.9767,0.9418,0.9625,0.937,0.9718,1.0,0.978,PASS
AU-10474,NT-001683,MD-225,2026-04-24 19:47:14,v1,0.9886,0.8971,0.9967,0.95,0.919,0.9441,1.0,0.9598,PASS
AU-10475,NT-001684,MD-216,2026-04-22 08:04:38,v1,1.0,0.9561,1.0,1.0,1.0,1.0,0.979,0.9881,PASS
AU-10476,NT-001685,MD-227,2026-04-24 08:44:42,v1,0.7434,0.9098,0.8748,0.8648,0.8568,0.9062,0.8327,0.8349,FAIL
AU-10477,NT-001690,MD-209,2026-04-25 05:26:25,v1,0.9871,0.8504,0.9192,1.0,0.8882,0.9076,0.8793,0.9242,PASS
AU-10478,NT-001692,MD-232,2026-04-22 09:22:13,v1,0.9745,0.9809,1.0,0.8846,0.9802,0.9481,1.0,0.9724,PASS
AU-10479,NT-001693,MD-229,2026-04-23 08:33:03,v1,1.0,1.0,1.0,1.0,1.0,1.0,0.9615,0.9942,PASS
AU-10480,NT-001695,MD-220,2026-04-23 16:04:13,v1,0.939,1.0,0.9073,0.9567,1.0,0.8852,0.9283,0.9516,PASS
AU-10481,NT-001697,MD-201,2026-04-22 20:21:55,v1,1.0,0.9726,0.9796,1.0,1.0,0.9473,1.0,0.9898,PASS
AU-10482,NT-001699,MD-216,2026-04-23 08:22:22,v1,1.0,0.9859,0.9388,1.0,1.0,0.9942,1.0,0.9908,PASS
AU-10483,NT-001707,MD-204,2026-04-24 02:13:21,v1,0.9905,0.9719,1.0,0.9395,0.9701,1.0,1.0,0.9825,PASS
AU-10484,NT-001708,MD-213,2026-04-23 12:27:15,v1,1.0,1.0,1.0,1.0,1.0,0.9248,1.0,0.9962,PASS
AU-10485,NT-001710,MD-209,2026-04-24 10:52:35,v1,0.7695,0.774,0.7619,0.7413,0.7785,0.6902,0.854,0.7764,FAIL
AU-10486,NT-001714,MD-217,2026-04-23 03:39:00,v1,0.9265,0.7638,0.95,0.9165,0.8755,0.7835,0.9029,0.8795,PASS
AU-10487,NT-001721,MD-211,2026-04-26 09:50:47,v1,0.9198,0.745,0.8846,0.958,0.8665,0.8614,0.8811,0.8711,PASS
AU-10488,NT-001724,MD-201,2026-04-26 16:51:06,v1,1.0,1.0,1.0,1.0,0.9618,0.9276,1.0,0.9926,PASS
AU-10489,NT-001725,MD-209,2026-04-25 15:24:46,v1,0.8877,0.8136,0.8763,0.8805,0.9513,0.7679,0.865,0.868,PASS
AU-10490,NT-001733,MD-209,2026-04-24 03:29:02,v1,0.9326,1.0,0.9109,0.9068,0.9749,0.9346,0.8766,0.9373,PASS
AU-10491,NT-001735,MD-209,2026-04-23 12:23:37,v1,0.8112,0.8801,0.8367,0.8594,0.9405,0.9895,0.9323,0.8724,PASS
AU-10492,NT-001740,MD-218,2026-04-23 11:21:34,v1,1.0,1.0,0.9224,0.8903,0.9111,1.0,0.9106,0.959,PASS
AU-10493,NT-001750,MD-201,2026-04-23 02:17:21,v1,0.9276,0.8766,1.0,0.9737,0.9975,0.9487,0.918,0.9359,PASS
AU-10494,NT-001755,MD-213,2026-04-24 08:29:36,v1,0.8604,0.7801,0.8219,0.7952,0.7065,0.7583,0.7663,0.7994,FAIL
AU-10495,NT-001757,MD-205,2026-04-23 09:43:27,v1,0.927,0.8561,0.9369,0.8837,0.9282,0.8897,0.8269,0.8927,PASS
AU-10496,NT-001758,MD-225,2026-04-23 18:41:11,v1,0.8857,0.7696,0.8579,0.8716,0.8704,0.7626,1.0,0.8678,PASS
AU-10497,NT-001766,MD-227,2026-04-25 14:26:06,v1,0.9583,0.9513,1.0,0.8798,0.9398,0.9225,0.9876,0.954,PASS
AU-10498,NT-001768,MD-215,2026-04-23 22:15:26,v1,0.8164,0.8157,0.9608,0.7926,0.8278,0.9193,0.771,0.8278,FAIL
AU-10499,NT-001770,MD-220,2026-04-24 11:50:40,v1,0.9356,0.9125,0.9273,0.9655,0.9071,0.9101,0.8809,0.9208,PASS
AU-10500,NT-001776,MD-227,2026-04-24 19:26:02,v1,0.9774,0.9216,1.0,0.955,0.9298,1.0,0.9634,0.9605,PASS
AU-10501,NT-001777,MD-230,2026-04-23 21:54:00,v1,0.9397,0.8686,0.8363,0.8145,0.9443,0.9435,0.9233,0.9008,PASS
AU-10502,NT-001779,MD-223,2026-04-22 23:22:05,v1,0.9752,0.9141,0.9901,1.0,0.9149,1.0,1.0,0.9659,PASS
AU-10503,NT-001781,MD-223,2026-04-26 07:22:08,v1,0.7975,0.851,0.9435,0.833,0.7502,0.7307,0.8705,0.8292,FAIL
AU-10504,NT-001783,MD-231,2026-04-26 00:13:37,v1,0.939,1.0,0.9293,0.9291,1.0,1.0,0.9778,0.9642,PASS
AU-10505,NT-001784,MD-221,2026-04-26 21:30:02,v1,0.9265,0.9805,0.9754,0.925,0.8698,0.921,0.9032,0.9326,PASS
AU-10506,NT-001788,MD-212,2026-04-25 00:22:23,v1,0.9593,0.9417,0.9135,0.9125,0.8092,0.8129,0.8378,0.906,PASS
AU-10507,NT-001794,MD-204,2026-04-24 08:57:43,v1,0.7912,0.875,0.8708,0.8745,0.8245,0.7759,0.7981,0.8279,FAIL
AU-10508,NT-001795,MD-205,2026-04-24 17:27:06,v1,0.9347,0.9181,0.9734,0.9549,0.9549,0.9466,1.0,0.9497,PASS
AU-10509,NT-001799,MD-224,2026-04-25 22:15:12,v1,0.8946,0.9493,0.7723,0.9409,0.781,0.9128,0.8819,0.8856,PASS
AU-10510,NT-001802,MD-224,2026-04-26 06:27:11,v1,0.9149,0.8666,0.7109,0.822,0.8366,0.8572,0.774,0.8437,FAIL
AU-10511,NT-001804,MD-208,2026-04-26 21:36:35,v1,0.8331,0.9987,0.9435,0.9255,1.0,0.9064,0.9166,0.9194,PASS
AU-10512,NT-001805,MD-229,2026-04-27 00:28:42,v1,0.8179,0.8492,0.8283,0.6904,0.7297,0.8052,0.7246,0.789,FAIL
AU-10513,NT-001808,MD-204,2026-04-27 07:38:28,v1,0.8462,0.8928,0.9743,0.9452,0.9187,0.9404,0.9575,0.9069,PASS
AU-10514,NT-001810,MD-227,2026-04-24 16:29:01,v1,1.0,0.9808,1.0,0.9176,1.0,1.0,1.0,0.9879,PASS
AU-10515,NT-001817,MD-219,2026-04-27 08:59:44,v1,0.966,0.8503,0.9457,0.823,0.8796,1.0,1.0,0.9247,PASS
AU-10516,NT-001825,MD-224,2026-04-27 09:11:58,v1,1.0,0.9586,0.9498,0.9833,0.9514,1.0,1.0,0.9802,PASS
AU-10517,NT-001831,MD-209,2026-04-24 09:16:36,v1,0.9506,1.0,0.9692,0.9976,0.9387,0.9839,0.9274,0.964,PASS
AU-10518,NT-001833,MD-203,2026-04-27 16:33:56,v1,0.9601,1.0,0.9691,0.9843,0.9722,0.9783,0.9875,0.9776,PASS
AU-10519,NT-001834,MD-208,2026-04-25 08:45:35,v1,0.909,0.9855,0.8653,0.8196,0.924,0.8852,0.929,0.9143,PASS
AU-10520,NT-001837,MD-220,2026-04-27 05:22:12,v1,0.9956,0.9463,0.9714,0.9463,1.0,0.9531,0.9636,0.9719,PASS
AU-10521,NT-001841,MD-216,2026-04-26 11:12:05,v1,0.8075,0.8747,0.8506,0.8819,0.9095,0.8558,0.8478,0.8514,PASS
AU-10522,NT-001842,MD-212,2026-04-27 09:06:52,v1,0.9351,0.941,0.9168,1.0,0.9716,0.9971,0.9911,0.9561,PASS
AU-10523,NT-001844,MD-204,2026-04-26 13:19:01,v1,0.9821,0.9562,0.9953,0.9318,0.9136,0.8492,1.0,0.9624,PASS
AU-10524,NT-001849,MD-208,2026-04-24 18:24:54,v1,0.9132,0.8293,0.8824,0.8864,0.8672,0.7961,0.8836,0.8758,PASS
AU-10525,NT-001850,MD-201,2026-04-24 22:09:03,v1,0.8655,1.0,0.9634,0.8409,0.8684,0.9334,0.9766,0.9201,PASS
AU-10526,NT-001855,MD-229,2026-04-25 23:32:10,v1,0.9414,0.8974,0.8753,0.9191,0.9944,0.9551,0.978,0.9352,PASS
AU-10527,NT-001862,MD-205,2026-04-25 09:42:18,v1,0.9716,0.8338,0.8115,0.8348,0.8112,0.9215,0.9007,0.8852,PASS
AU-10528,NT-001864,MD-206,2026-04-26 18:35:26,v1,0.9683,1.0,0.9559,1.0,1.0,0.9052,0.8893,0.9647,PASS
AU-10529,NT-001867,MD-209,2026-04-27 11:20:48,v1,1.0,1.0,0.9871,0.94,0.9538,0.9991,1.0,0.988,PASS
AU-10530,NT-001871,MD-215,2026-04-25 01:40:43,v1,0.9769,0.8733,0.8762,1.0,0.933,0.9792,0.943,0.939,PASS
AU-10531,NT-001878,MD-228,2026-04-28 09:44:47,v1,1.0,0.9604,0.8031,0.9617,0.8676,0.8561,0.8939,0.9322,PASS
AU-10532,NT-001879,MD-206,2026-04-25 11:12:52,v1,0.9763,0.9176,0.8661,0.8838,0.916,0.9163,0.8068,0.9098,PASS
AU-10533,NT-001885,MD-221,2026-04-27 23:03:45,v1,1.0,0.983,0.9698,0.8996,1.0,0.9271,0.8936,0.9639,PASS
AU-10534,NT-001886,MD-202,2026-04-28 08:24:46,v1,0.9834,0.9823,0.9344,0.9203,0.9431,0.9878,1.0,0.9706,PASS
AU-10535,NT-001887,MD-228,2026-04-26 01:01:35,v1,1.0,0.8861,0.9762,1.0,1.0,1.0,0.8926,0.9587,PASS
AU-10536,NT-001889,MD-207,2026-04-26 02:20:36,v1,0.9611,0.9309,0.9316,1.0,1.0,1.0,1.0,0.9677,PASS
AU-10537,NT-001894,MD-233,2026-04-27 21:25:43,v1,0.8277,0.7659,0.863,0.7866,0.8768,0.8097,0.8323,0.8195,FAIL
AU-10538,NT-001896,MD-207,2026-04-26 16:16:42,v1,0.9855,0.9977,0.9782,0.9711,0.9957,0.9669,0.986,0.9859,PASS
AU-10539,NT-001898,MD-201,2026-04-25 11:14:48,v1,0.9049,0.9658,0.9765,0.9261,0.9284,0.9294,0.9142,0.9313,PASS
AU-10540,NT-001900,MD-208,2026-04-25 00:48:19,v1,0.8753,0.9157,1.0,0.8823,0.9564,0.85,0.8842,0.9047,PASS
AU-10541,NT-001907,MD-228,2026-04-25 20:38:43,v1,0.9592,0.9755,0.9744,0.9327,0.9229,0.8583,0.9279,0.948,PASS
AU-10542,NT-001919,MD-223,2026-04-26 22:23:28,v1,0.7204,0.8811,0.8924,0.8816,0.8393,0.971,0.8365,0.8277,FAIL
AU-10543,NT-001921,MD-233,2026-04-28 16:25:31,v1,0.9771,1.0,0.9894,1.0,0.9637,1.0,1.0,0.9884,PASS
AU-10544,NT-001922,MD-227,2026-04-27 12:42:33,v1,1.0,0.9478,0.98,1.0,0.9567,0.986,0.9494,0.9749,PASS
AU-10545,NT-001924,MD-220,2026-04-25 15:46:36,v1,1.0,0.8835,1.0,0.9951,0.9571,1.0,0.9626,0.9663,PASS
AU-10546,NT-001926,MD-232,2026-04-25 17:09:30,v1,0.951,1.0,0.9521,0.8829,0.9686,0.9486,0.9439,0.9547,PASS
AU-10547,NT-001927,MD-234,2026-04-28 16:54:20,v1,0.9237,0.9536,0.8595,0.8051,0.8875,0.8581,0.9532,0.9089,PASS
AU-10548,NT-001928,MD-232,2026-04-26 05:20:12,v1,0.9752,0.9677,1.0,1.0,1.0,1.0,0.9948,0.9853,PASS
AU-10549,NT-001931,MD-212,2026-04-27 04:11:25,v1,0.8992,0.9772,0.8485,0.8132,0.9024,0.9122,0.9882,0.9154,PASS
AU-10550,NT-001939,MD-202,2026-04-26 07:53:05,v1,0.7995,0.7802,0.802,0.7346,0.7882,0.8431,0.8059,0.7914,FAIL
AU-10551,NT-001945,MD-228,2026-04-26 22:41:53,v1,0.9935,0.9313,0.8826,0.9627,0.9523,1.0,0.9327,0.954,PASS
AU-10552,NT-001956,MD-208,2026-04-28 18:43:48,v1,1.0,1.0,1.0,1.0,0.9196,0.9394,1.0,0.9889,PASS
AU-10553,NT-001959,MD-224,2026-04-26 18:54:32,v1,0.9274,0.9333,0.8623,0.8094,0.9227,0.9496,0.9992,0.9217,PASS
AU-10554,NT-001962,MD-231,2026-04-28 19:50:47,v1,0.921,0.9405,0.9804,0.9589,0.9985,0.9749,1.0,0.9569,PASS
AU-10555,NT-001963,MD-232,2026-04-26 06:24:10,v1,1.0,0.9214,0.9758,0.9139,1.0,0.9449,0.9406,0.9616,PASS
AU-10556,NT-001967,MD-227,2026-04-26 12:00:06,v1,0.8862,0.862,0.8901,0.8958,0.8697,0.8874,0.918,0.8859,PASS
AU-10557,NT-001968,MD-205,2026-04-29 10:43:20,v1,0.8778,0.8796,1.0,0.9287,0.882,1.0,0.9379,0.911,PASS
AU-10558,NT-001969,MD-220,2026-04-27 20:41:46,v1,1.0,0.9836,1.0,0.8614,0.8978,0.8643,0.9555,0.9592,PASS
AU-10559,NT-001971,MD-207,2026-04-27 22:35:57,v1,1.0,1.0,1.0,0.9753,0.932,1.0,1.0,0.9907,PASS
AU-10560,NT-001974,MD-211,2026-04-26 16:37:57,v1,0.8986,0.9782,1.0,0.9573,0.8668,0.9531,1.0,0.9453,PASS
AU-10561,NT-001979,MD-224,2026-04-28 03:36:27,v1,0.8376,0.8084,0.8159,0.8808,0.7122,0.8346,0.7857,0.8134,FAIL
AU-10562,NT-001981,MD-225,2026-04-27 18:44:13,v1,0.9495,0.981,0.9563,1.0,1.0,0.9829,0.9586,0.9696,PASS
AU-10563,NT-001985,MD-225,2026-04-30 12:37:17,v1,0.9036,0.8507,0.9165,0.875,0.8768,0.8716,0.8952,0.8859,PASS
AU-10564,NT-001986,MD-210,2026-04-27 01:26:01,v1,1.0,1.0,1.0,1.0,1.0,1.0,0.9098,0.9865,PASS
AU-10565,NT-001990,MD-202,2026-04-28 12:53:20,v1,0.9837,0.9205,1.0,0.9849,0.9699,0.9847,0.9371,0.9645,PASS
AU-10566,NT-001996,MD-223,2026-04-27 15:11:23,v1,0.9984,0.9917,0.8609,1.0,0.9503,0.9302,0.9835,0.973,PASS
AU-10567,NT-001997,MD-226,2026-04-29 04:05:37,v1,0.994,0.8801,0.9836,0.9132,1.0,0.8173,0.9619,0.9491,PASS
AU-10568,NT-001999,MD-212,2026-04-29 05:15:49,v1,0.9114,0.8887,0.8973,0.9284,0.9322,0.8938,0.9767,0.9182,PASS
AU-10569,NT-002000,MD-226,2026-04-28 16:07:10,v1,0.9075,0.875,0.9413,0.9613,1.0,0.9504,0.8587,0.9138,PASS
AU-10570,NT-002002,MD-223,2026-04-28 20:21:22,v1,0.7793,0.7291,0.6798,0.7869,0.7092,0.7657,0.7036,0.741,FAIL
AU-10571,NT-002006,MD-229,2026-04-28 13:01:04,v1,0.8718,0.8962,1.0,1.0,1.0,0.9112,0.9824,0.9337,PASS
AU-10572,NT-002007,MD-207,2026-05-01 14:42:34,v1,0.8879,0.8409,0.9187,0.9295,0.8678,0.8417,0.8785,0.88,PASS
AU-10573,NT-002011,MD-230,2026-04-30 04:31:41,v1,0.913,0.9304,0.9012,0.9704,1.0,1.0,0.8461,0.9241,PASS
AU-10574,NT-002019,MD-202,2026-04-28 23:18:07,v1,0.9108,0.8067,0.872,0.9415,0.9491,0.9812,0.9739,0.906,PASS
AU-10575,NT-002020,MD-207,2026-05-01 02:35:40,v1,1.0,0.9692,0.9341,1.0,0.9922,0.9823,1.0,0.9856,PASS
AU-10576,NT-002022,MD-233,2026-04-28 15:18:53,v1,1.0,1.0,0.998,0.9481,0.9186,1.0,0.86,0.9655,PASS
AU-10577,NT-002027,MD-215,2026-05-01 09:34:15,v1,1.0,0.9916,1.0,0.9236,0.9833,0.8892,1.0,0.9835,PASS
AU-10578,NT-002028,MD-225,2026-04-29 12:19:01,v1,1.0,0.9728,0.9678,1.0,1.0,0.8912,0.9314,0.9756,PASS
AU-10579,NT-002031,MD-211,2026-04-29 06:52:43,v1,0.8082,0.841,0.8372,0.8877,0.8107,0.9034,0.9771,0.856,PASS
AU-10580,NT-002032,MD-204,2026-04-28 20:47:07,v1,0.9896,0.9205,0.8352,0.8922,0.9329,0.9142,0.9253,0.9315,PASS
AU-10581,NT-002038,MD-201,2026-04-30 10:20:34,v1,0.9456,1.0,0.9256,0.9115,0.8697,0.9309,0.9983,0.9507,PASS
AU-10582,NT-002041,MD-210,2026-04-28 22:13:11,v1,0.978,0.8302,0.8675,0.911,0.9558,0.9745,0.9041,0.9172,PASS
AU-10583,NT-002045,MD-208,2026-04-30 10:45:38,v1,1.0,0.9638,0.973,0.8871,0.9037,0.8978,0.9411,0.9552,PASS
AU-10584,NT-002048,MD-234,2026-04-30 03:04:05,v1,1.0,0.9163,1.0,0.903,0.8174,0.9175,0.9298,0.9407,PASS
AU-10585,NT-002055,MD-232,2026-04-30 21:41:50,v1,1.0,0.9463,0.9615,0.8272,0.9464,1.0,0.9481,0.955,PASS
AU-10586,NT-002056,MD-224,2026-05-01 01:38:27,v1,0.914,1.0,0.9931,1.0,1.0,1.0,0.8531,0.9515,PASS
AU-10587,NT-002057,MD-205,2026-05-01 04:20:38,v1,1.0,0.9176,1.0,0.947,0.9486,0.9827,1.0,0.9722,PASS
AU-10588,NT-002060,MD-206,2026-04-28 21:43:51,v1,0.9774,1.0,1.0,0.9808,0.9788,1.0,1.0,0.9892,PASS
AU-10589,NT-002065,MD-216,2026-05-01 09:02:56,v1,0.9717,0.9442,0.9729,0.9326,0.9473,0.8518,0.8536,0.9363,PASS
AU-10590,NT-002068,MD-232,2026-05-01 14:15:49,v1,0.9154,1.0,0.8372,0.8199,0.8489,1.0,0.8824,0.9076,PASS
AU-10591,NT-002072,MD-215,2026-05-01 04:28:17,v1,0.9055,0.9867,0.9345,1.0,0.9961,1.0,1.0,0.9621,PASS
AU-10592,NT-002075,MD-219,2026-04-29 05:06:37,v1,0.9981,0.9822,1.0,0.8726,1.0,0.9688,1.0,0.9816,PASS
AU-10593,NT-002078,MD-234,2026-04-30 13:36:40,v1,0.8138,0.961,0.7566,0.8475,0.8048,0.8204,0.8892,0.8516,PASS
AU-10594,NT-002085,MD-230,2026-04-29 21:00:55,v1,0.9321,1.0,0.9266,0.9508,0.9335,0.9281,0.9468,0.9492,PASS
AU-10595,NT-002087,MD-216,2026-04-29 22:23:46,v1,1.0,1.0,0.9815,0.963,0.9136,1.0,0.92,0.9738,PASS
AU-10596,NT-002089,MD-219,2026-05-02 03:01:17,v1,0.9347,0.9685,1.0,0.8988,1.0,0.9462,0.9534,0.9543,PASS
AU-10597,NT-002092,MD-219,2026-04-30 21:25:30,v1,0.9511,1.0,0.9404,0.9373,1.0,1.0,1.0,0.9731,PASS
AU-10598,NT-002093,MD-230,2026-04-29 13:14:21,v1,0.532,0.478,0.537,0.4517,0.5196,0.4801,0.4935,0.5041,FAIL
AU-10599,NT-002095,MD-203,2026-04-30 02:25:08,v1,0.8587,0.9342,0.851,0.8682,0.8559,0.8251,0.8951,0.8775,PASS
AU-10600,NT-002098,MD-232,2026-04-30 16:23:11,v1,0.8482,1.0,0.8374,0.9287,0.9142,1.0,0.8315,0.8972,PASS
AU-10601,NT-002103,MD-220,2026-05-01 07:22:36,v1,1.0,1.0,1.0,1.0,1.0,0.9985,0.93,0.9894,PASS
AU-10602,NT-002110,MD-215,2026-05-02 06:58:58,v1,1.0,0.9603,0.9003,1.0,1.0,1.0,0.9433,0.9736,PASS
AU-10603,NT-002112,MD-234,2026-04-29 12:32:36,v1,0.9797,0.9758,0.9849,1.0,1.0,0.9862,0.9748,0.9831,PASS
AU-10604,NT-002113,MD-212,2026-05-01 01:27:41,v1,0.7895,0.8096,0.8755,0.779,0.7555,0.7427,0.8122,0.7987,FAIL
AU-10605,NT-002115,MD-226,2026-05-01 23:06:22,v1,0.9275,1.0,0.9749,1.0,0.9028,1.0,1.0,0.966,PASS
AU-10606,NT-002116,MD-234,2026-04-29 04:18:38,v1,0.95,1.0,0.9501,0.9829,0.9768,0.9219,1.0,0.9721,PASS
AU-10607,NT-002122,MD-233,2026-05-02 07:24:02,v1,0.6113,0.6666,0.6169,0.5473,0.597,0.5613,0.6284,0.6152,FAIL
AU-10608,NT-002123,MD-216,2026-04-29 04:41:07,v1,0.916,0.9589,0.9065,0.9146,0.9407,0.7789,0.9153,0.919,PASS
AU-10609,NT-002126,MD-209,2026-05-01 05:17:23,v1,0.9198,0.8885,0.87,0.9166,0.8413,0.9163,0.9548,0.9055,PASS
AU-10610,NT-002127,MD-225,2026-05-01 17:16:31,v1,0.8943,0.9804,0.9286,0.8344,0.9128,0.9135,0.9554,0.9209,PASS
AU-10611,NT-002128,MD-208,2026-04-29 13:55:53,v1,0.9624,0.873,0.9368,0.9584,0.9553,0.9614,0.9318,0.9362,PASS
AU-10612,NT-002129,MD-212,2026-05-01 18:56:56,v1,1.0,0.9666,0.938,0.9232,1.0,1.0,0.9121,0.9663,PASS
AU-10613,NT-002131,MD-229,2026-05-02 09:00:03,v1,0.8522,0.9693,0.7989,1.0,0.943,0.9331,0.9843,0.918,PASS
AU-10614,NT-002136,MD-232,2026-05-02 02:26:05,v1,0.9606,0.9671,1.0,0.9528,0.9146,0.9598,0.9821,0.9636,PASS
AU-10615,NT-002138,MD-228,2026-04-30 03:36:11,v1,0.9171,1.0,0.9475,1.0,0.9654,0.9367,1.0,0.9633,PASS
AU-10616,NT-002146,MD-231,2026-05-01 11:44:15,v1,0.8902,1.0,0.8974,0.9725,0.909,0.8527,0.9038,0.9231,PASS
AU-10617,NT-002147,MD-212,2026-04-29 08:43:29,v1,0.8939,0.8784,0.9571,0.8532,0.7796,0.8443,0.8903,0.8786,PASS
AU-10618,NT-002149,MD-212,2026-05-01 15:36:00,v1,0.9449,0.9141,1.0,0.8316,0.826,0.8714,0.8668,0.9057,PASS
AU-10619,NT-002154,MD-219,2026-04-29 19:32:46,v1,1.0,0.9296,0.9901,0.99,0.9935,0.9906,1.0,0.9828,PASS
AU-10620,NT-002155,MD-217,2026-04-30 16:24:33,v1,0.8029,0.9319,0.9932,0.9422,0.9898,0.9545,0.8945,0.9017,PASS
AU-10621,NT-002158,MD-201,2026-05-01 01:48:02,v1,0.9916,0.8829,0.8209,0.9408,0.911,0.9573,0.805,0.9099,PASS
AU-10622,NT-002159,MD-228,2026-05-01 04:15:37,v1,0.8054,0.8913,0.8693,0.8765,0.8996,0.8612,0.889,0.8608,PASS
AU-10623,NT-002162,MD-210,2026-04-30 22:33:40,v1,0.916,1.0,1.0,0.9902,0.9125,0.9241,0.9505,0.9539,PASS
AU-10624,NT-002164,MD-218,2026-04-30 14:09:56,v1,0.781,0.8887,0.8052,0.8384,0.9245,0.8668,0.7737,0.8282,FAIL
AU-10625,NT-002169,MD-215,2026-05-02 14:34:53,v1,0.8597,1.0,0.9829,0.9771,1.0,1.0,0.8854,0.9367,PASS
AU-10626,NT-002174,MD-226,2026-04-30 01:41:51,v1,0.8209,0.8491,0.7077,0.79,0.7891,0.8463,0.6948,0.7913,FAIL
AU-10627,NT-002178,MD-222,2026-05-01 20:53:58,v1,0.8962,0.7684,0.9202,0.9633,0.9323,0.7857,0.9686,0.8887,PASS
AU-10628,NT-002182,MD-209,2026-05-03 14:45:40,v1,0.9734,0.8136,0.8352,0.9094,0.8501,0.901,0.9302,0.8988,PASS
AU-10629,NT-002183,MD-222,2026-04-30 11:39:10,v1,0.9501,0.9251,0.9281,0.9485,0.956,1.0,0.967,0.9484,PASS
